sample,L,N,S,best_value,interval,interval_num
0246,15,85,100,10218496.0,14,21
0247,15,95,100,8830582.0,1,268
0248,25,65,100,5865232.0,81,3
0249,25,75,100,6149514.0,15,14
0250,25,85,100,5757334.0,12,15
0251,25,95,100,4984829.0,1,259
0252,35,65,100,4712547.0,1,146
0253,35,75,100,4249967.0,5,41
0254,35,85,100,3889302.0,14,14
0255,35,95,100,3632891.0,3,66
0256,45,65,100,3735399.0,1,175
0257,45,75,100,3191850.0,20,8
0258,45,85,100,3144816.0,8,21
0259,45,95,100,2892008.0,2,99
0260,15,65,121,9413202.0,11,24
0261,15,75,121,9456491.0,7,42
0262,15,85,121,9258349.0,7,38
0263,15,95,121,7813336.0,8,38
0264,25,65,121,5472362.0,1,189
0265,25,75,121,5285923.0,47,5
0266,25,85,121,4807732.0,11,21
0267,25,95,121,4230298.0,8,34
0268,35,65,121,3553983.0,1,217
0269,35,75,121,3627026.0,3,63
0270,35,85,121,3652788.0,1,204
0271,35,95,121,3322625.0,17,13
0272,45,65,121,3280889.0,15,11
0273,45,75,121,2622399.0,16,12
0274,45,85,121,2219532.0,5,45
0275,45,95,121,2164260.0,1,228
0276,15,65,144,8014953.0,74,4
0277,15,75,144,7361791.0,1,321
0278,15,85,144,6615539.0,1,309
0279,15,95,144,6476767.0,19,20
0280,25,65,144,4745858.0,1,242
0281,25,75,144,4022998.0,1,254
0282,25,85,144,3781216.0,1,293
0283,25,95,144,3720458.0,2,150
0284,35,65,144,3145180.0,17,13
0285,35,75,144,2800304.0,2,121
0286,35,85,144,2631099.0,9,29
0287,35,95,144,2433382.0,13,20
0288,45,65,144,2474498.0,73,3
0289,45,75,144,2186113.0,4,56
0290,45,85,144,2047983.0,5,45
0291,45,95,144,1765446.0,1,253
0292,15,65,169,6793926.0,19,19
0293,15,75,169,6411884.0,11,26
0294,15,85,169,5709038.0,24,13
0295,15,95,169,5339854.0,1,366
0296,25,65,169,3981349.0,4,65
0297,25,75,169,3836445.0,2,123
0298,25,85,169,3377120.0,4,80
0299,25,95,169,3088530.0,1,289
0300,35,65,169,2575605.0,11,23
0301,35,75,169,2296887.0,2,139
0302,35,85,169,2042067.0,9,32
0303,35,95,169,1829290.0,1,326
0304,45,65,169,1857354.0,5,50
0305,45,75,169,1643828.0,45,6
0306,45,85,169,1477303.0,3,97
0307,45,95,169,1216253.0,5,65
0308,15,65,196,5980773.0,6,61
0309,15,75,196,5497952.0,13,27
0310,15,85,196,4778811.0,1,365
0311,15,95,196,4443526.0,1,413
0312,25,65,196,3300595.0,39,7
0313,25,75,196,2978407.0,1,340
0314,25,85,196,2580900.0,1,359
0315,25,95,196,2764217.0,9,38
0316,35,65,196,2064718.0,3,102
0317,35,75,196,2175369.0,1,285
0318,35,85,196,1617421.0,1,339
0319,35,95,196,1657997.0,4,84
0320,45,65,196,1509409.0,3,93
0321,45,75,196,1250895.0,1,321
0322,45,85,196,1144603.0,4,83
0323,45,95,196,1099646.0,69,5
0324,15,65,225,5324020.0,19,20
0325,15,75,225,4821954.0,3,126
0326,15,85,225,4583404.0,24,16
0327,15,95,225,3841337.0,1,368
0328,25,65,225,3062570.0,3,109
0329,25,75,225,2729603.0,2,167
0330,25,85,225,2169240.0,1,411
0331,25,95,225,2334874.0,38,10
0332,35,65,225,1877386.0,9,34
0333,35,75,225,1667640.0,5,68
0334,35,85,225,1662240.0,15,22
0335,35,95,225,1430955.0,8,49
0336,45,65,225,1221979.0,1,314
0337,45,75,225,1012081.0,5,71
0338,45,85,225,938569.0,10,37
0339,45,95,225,785009.0,38,11
0340,15,65,256,4521979.0,1,418
0341,15,75,256,4267431.0,12,29
0342,15,85,256,3954580.0,3,119
0343,15,95,256,3407750.0,12,39
0344,25,65,256,2349702.0,8,49
0345,25,75,256,2180501.0,22,17
0346,25,85,256,1859873.0,7,61
0347,25,95,256,1774903.0,17,27
0348,35,65,256,1421080.0,1,381
0349,35,75,256,1507835.0,14,26
0350,35,85,256,1140274.0,2,217
0351,35,95,256,1069863.0,13,35
0352,45,65,256,1035834.0,91,4
0353,45,75,256,831111.0,45,9
0354,45,85,256,702814.0,9,50
0355,45,95,256,555493.0,1,502
0356,15,65,289,4381970.0,42,10
0357,15,75,289,3665085.0,6,78
0358,15,85,289,3105501.0,1,533
0359,15,95,289,3160777.0,40,13
0360,25,65,289,2237870.0,3,127
0361,25,75,289,1694959.0,9,54
0362,25,85,289,1731219.0,6,78
0363,25,95,289,1521157.0,102,5
0364,35,65,289,1367764.0,16,25
0365,35,75,289,1046117.0,2,225
0366,35,85,289,878455.0,5,103
0367,35,95,289,820908.0,1,512
0368,45,65,289,915117.0,42,9
0369,45,75,289,777277.0,71,6
0370,45,85,289,650794.0,14,33
0371,45,95,289,507782.0,1,531
0372,15,65,324,3521609.0,14,33
0373,15,75,324,3263072.0,6,75
0374,15,85,324,2860199.0,17,30
0375,15,95,324,2575018.0,2,273
0376,25,65,324,1835754.0,15,30
0377,25,75,324,1774669.0,26,17
0378,25,85,324,1375023.0,1,527
0379,25,95,324,1284766.0,3,181
0380,35,65,324,877623.0,45,11
0381,35,75,324,989652.0,36,13
0382,35,85,324,764580.0,7,77
0383,35,95,324,704535.0,3,190
0384,45,65,324,745990.0,3,141
0385,45,75,324,632640.0,31,15
0386,45,85,324,481400.0,18,30
0387,45,95,324,459418.0,7,79
0388,15,65,361,3183471.0,74,7
0389,15,75,361,3011147.0,8,63
0390,15,85,361,2684457.0,17,32
0391,15,95,361,2184217.0,10,65
0392,25,65,361,1590852.0,170,3
0393,25,75,361,1297528.0,195,3
0394,25,85,361,1199521.0,119,5
0395,25,95,361,1063396.0,23,27
0396,35,65,361,824581.0,2,257
0397,35,75,361,751744.0,12,45
0398,35,85,361,654990.0,118,5
0399,35,95,361,578649.0,2,312
0400,45,65,361,576233.0,20,25
0401,45,75,361,485562.0,2,268
0402,45,85,361,463605.0,10,55
0403,45,95,361,376424.0,4,152
0404,15,65,400,2581045.0,8,78
0405,15,75,400,2605158.0,60,9
0406,15,85,400,1950103.0,5,143
0407,15,95,400,1819500.0,3,241
0408,25,65,400,1319486.0,1,540
0409,25,75,400,1162277.0,2,298
0410,25,85,400,924307.0,380,2
0411,25,95,400,807637.0,1,733
0412,35,65,400,649169.0,338,2
0413,35,75,400,620670.0,47,13
0414,35,85,400,555847.0,2,317
0415,35,95,400,477747.0,101,7
0416,45,65,400,465085.0,7,78
0417,45,75,400,420093.0,1,582
0418,45,85,400,320116.0,7,98
0419,45,95,400,354488.0,1,628
0420,15,65,441,2241131.0,8,81
0421,15,75,441,2206300.0,32,20
0422,15,85,441,1912692.0,5,144
0423,15,95,441,1566047.0,274,3
0424,25,65,441,1078375.0,8,80
0425,25,75,441,937015.0,9,74
0426,25,85,441,819952.0,73,10
0427,25,95,441,775515.0,4,188
0428,35,65,441,695885.0,10,57
0429,35,75,441,467747.0,2,344
0430,35,85,441,643984.0,33,18
0431,35,95,441,375990.0,57,14
0432,45,65,441,416683.0,29,20
0433,45,75,441,340277.0,18,36
0434,45,85,441,260412.0,1,749
0435,45,95,441,212109.0,299,3
0436,15,65,484,2387433.0,150,4
0437,15,75,484,1867285.0,1,715
0438,15,85,484,1752753.0,14,52
0439,15,95,484,1423483.0,294,3
0440,25,65,484,884665.0,6,114
0441,25,75,484,816974.0,12,60
0442,25,85,484,648131.0,465,2
0443,25,95,484,402749.0,7,131
0444,35,65,484,582592.0,9,69
0445,35,75,484,423500.0,2,375
0446,35,85,484,339859.0,481,2
0447,35,95,484,341782.0,1,843
0448,45,65,484,308344.0,2,341
0449,45,75,484,266458.0,1,734
0450,45,85,484,254247.0,1,774
0451,45,95,484,203779.0,6,141
0452,15,65,529,1608647.0,25,26
0453,15,75,529,1659219.0,5,162
0454,15,85,529,1282283.0,7,128
0455,15,95,529,1044132.0,597,2
0456,25,65,529,795471.0,2,367
0457,25,75,529,704009.0,24,32
0458,25,85,529,580858.0,4,220
0459,25,95,529,381881.0,18,54
0460,35,65,529,476852.0,400,2
0461,35,75,529,421019.0,1,741
0462,35,85,529,325480.0,12,71
0463,35,95,529,199973.0,632,2
0464,45,65,529,264092.0,2,373
0465,45,75,529,226056.0,16,51
0466,45,85,529,168282.0,12,69
0467,45,95,529,158565.0,36,27
0468,15,65,576,1660444.0,196,4
0469,15,75,576,1514622.0,18,45
0470,15,85,576,1189789.0,49,20
0471,15,95,576,978691.0,618,2
0472,25,65,576,691673.0,279,3
0473,25,75,576,635995.0,42,20
0474,25,85,576,477978.0,548,2
0475,25,95,576,392356.0,609,2
0476,35,65,576,376412.0,2,401
0477,35,75,576,252477.0,559,2
0478,35,85,576,217883.0,604,2
0479,35,95,576,255458.0,557,2
0480,45,65,576,210744.0,3,248
0481,45,75,576,193715.0,3,289
0482,45,85,576,199692.0,32,27
0483,45,95,576,115395.0,173,6
0484,15,65,625,1523643.0,6,135
0485,15,75,625,1124964.0,4,240
0486,15,85,625,972761.0,225,5
0487,15,95,625,856370.0,668,2
0488,25,65,625,499669.0,5,193
0489,25,75,625,489760.0,2,479
0490,25,85,625,327000.0,670,2
0491,25,95,625,344627.0,652,2
0492,35,65,625,360173.0,464,2
0493,35,75,625,331012.0,76,11
0494,35,85,625,200108.0,631,2
0495,35,95,625,176304.0,674,2
0496,45,65,625,256318.0,2,386
0497,45,75,625,155965.0,503,2
0498,45,85,625,101634.0,702,2
0499,45,95,625,128137.0,624,2
0500,15,65,676,1065293.0,5,201
0501,15,75,676,1191860.0,63,15
0502,15,85,676,690077.0,659,2
0503,15,95,676,647486.0,777,2
0504,25,65,676,450216.0,565,2
0505,25,75,676,455322.0,2,487
0506,25,85,676,336829.0,660,2
0507,25,95,676,212041.0,840,2
0508,35,65,676,291650.0,131,7
0509,35,75,676,186793.0,654,2
0510,35,85,676,157345.0,714,2
0511,35,95,676,140431.0,758,2
0512,45,65,676,165914.0,547,2
0513,45,75,676,115250.0,323,3
0514,45,85,676,104994.0,692,2
0515,45,95,676,103678.0,695,2
0516,15,65,729,781447.0,612,2
0517,15,75,729,973129.0,9,111
0518,15,85,729,772057.0,706,2
0519,15,95,729,574246.0,829,2
0520,25,65,729,437821.0,14,71
0521,25,75,729,275404.0,734,2
0522,25,85,729,284234.0,722,2
0523,25,95,729,249572.0,775,2
0524,35,65,729,234233.0,582,2
0525,35,75,729,191073.0,646,2
0526,35,85,729,93327.0,742,2
0527,35,95,729,115002.0,838,2
0528,45,65,729,133248.0,612,2
0529,45,75,729,113604.0,664,2
0530,45,85,729,92443.0,737,2
0531,45,95,729,76374.0,812,2
0532,15,65,784,895165.0,646,2
0533,15,75,784,793130.0,693,2
0534,15,85,784,799477.0,695,2
0535,15,95,784,489092.0,909,2
0536,25,65,784,376919.0,621,2
0537,25,75,784,279256.0,728,2
0538,25,85,784,267875.0,744,2
0539,25,95,784,206286.0,852,2
0540,35,65,784,178409.0,45,23
0541,35,75,784,113290.0,844,2
0542,35,85,784,121053.0,816,2
0543,35,95,784,115484.0,746,2
0544,45,65,784,113457.0,664,2
0545,45,75,784,84407.0,772,2
0546,45,85,784,84780.0,770,2
0547,45,95,784,56718.0,943,2
0548,15,65,841,679922.0,759,2
0549,15,75,841,594823.0,814,2
0550,15,85,841,489773.0,906,2
0551,15,95,841,530884.0,868,2
0552,25,65,841,255962.0,761,2
0553,25,75,841,204131.0,856,2
0554,25,85,841,207876.0,848,2
0555,25,95,841,153703.0,991,2
0556,35,65,841,165154.0,696,2
0557,35,75,841,112191.0,848,2
0558,35,85,841,111779.0,850,2
0559,35,95,841,93337.0,932,2
0560,45,65,841,109669.0,676,2
0561,45,75,841,99654.0,709,2
0562,45,85,841,64585.0,884,2
0563,45,95,841,44159.0,763,2
0564,15,65,900,603298.0,805,2
0565,15,75,900,538842.0,859,2
0566,15,85,900,469869.0,925,2
0567,15,95,900,2662.0,4,244
0568,25,65,900,201552.0,863,2
0569,25,75,900,176330.0,923,2
0570,25,85,900,137535.0,935,2
0571,25,95,900,169502.0,943,2
0572,35,65,900,146174.0,741,2
0573,35,75,900,143191.0,749,2
0574,35,85,900,73867.0,836,2
0575,35,95,900,81455.0,998,2
0576,45,65,900,114697.0,660,2
0577,45,75,900,81043.0,703,2
0578,45,85,900,44060.0,957,2
0579,45,95,900,35696.0,951,2
